
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
120.4495 25.27425 3.00336 2.99514 0.00665487  245.997 244.887 401715 2 0 849
120.4995 25.29925 3.00411 2.99589 0.00665653  246.001 244.894 401720 2 0 1034
120.5495 25.32425 3.00485 2.99664 0.00665819  245.999 244.895 401725 2 0 1155
120.5995 25.34925 3.0056 2.99738 0.00665985  245.998 244.897 401731 2 0 1172
120.6495 25.37425 3.00635 2.99813 0.00666151  245.998 244.901 401736 2 0 1320
120.6995 25.39925 3.0071 2.99887 0.00666316  245.997 244.886 401741 2 0 1279
120.7495 25.42425 3.00784 2.99962 0.00666482  246.001 244.893 401746 2 0 1118
120.7995 25.44925 3.00859 3.00036 0.00666647  0 244.899 401751 2 0 1042
120.8495 25.47425 3.00934 3.0011 0.00666812  245.998 244.876 401756 2 0 956
120.8995 25.49925 3.01008 3.00185 0.00666977  246.001 244.886 401761 2 0 807
120.9495 25.52425 3.01083 3.00259 0.00667142  245.999 244.881 401766 2 0 699
120.9995 25.54925 3.01157 3.00333 0.00667307  245.999 244.89 401772 2 0 663
121.0495 25.57425 3.01231 3.00407 0.00667472  246 244.902 401777 2 0 535
121.0995 25.59925 3.01305 3.00481 0.00667636  245.998 244.89 401782 2 0 497
121.1495 25.62425 3.0138 3.00555 0.00667801  246 244.883 401787 2 0 398
121.1995 25.64925 3.01454 3.00629 0.00667965  246 244.891 401792 2 0 327
121.2495 25.67425 3.01528 3.00703 0.00668129  0 244.882 401797 2 0 279
121.2995 25.69925 3.01602 3.00777 0.00668293  246.001 244.877 401802 2 0 209
121.3495 25.72425 3.01676 3.00851 0.00668457  246 244.88 401807 2 0 187
121.3995 25.74925 3.0175 3.00924 0.00668621  245.999 244.886 401812 2 0 144
121.4495 25.77425 3.01824 3.00998 0.00668785  246 244.892 401818 2 0 120
121.4995 25.79925 3.01897 3.01072 0.00668948  246 244.883 401823 2 0 79
121.5495 25.82425 3.01971 3.01145 0.00669112  245.995 244.889 401828 2 0 41
121.5995 25.84925 3.02045 3.01219 0.00669275  246.002 244.886 401833 2 0 29
121.6495 25.87425 3.02119 3.01292 0.00669438  245.998 244.891 401838 2 0 20
121.6995 25.89925 3.02192 3.01365 0.00669601  0 244.888 401843 2 0 17
121.7495 25.92425 3.02266 3.01439 0.00669764  246 244.887 401849 2 0 11
121.7995 25.94925 3.02339 3.01512 0.00669927  245.999 244.882 401854 2 0 9
121.8495 25.97425 3.02412 3.01585 0.00670089  245.999 244.886 401859 2 0 8
121.8995 25.99925 3.02486 3.01658 0.00670252  245.999 244.884 401864 2 0 10
121.9495 26.02425 3.02559 3.01731 0.00670414  246 244.889 401869 2 0 9
121.9995 26.04925 3.02632 3.01804 0.00670576  245.999 244.898 401874 2 0 4
122.0495 26.07425 3.02705 3.01877 0.00670738  246 244.879 401879 2 0 0
122.0995 26.09925 3.02779 3.0195 0.006709  246 244.885 401884 2 0 4
122.1495 26.12425 3.02852 3.02023 0.00671062  0 244.885 401890 2 0 1
122.1995 26.14925 3.02925 3.02096 0.00671224  245.999 244.89 401895 2 0 4
122.2495 26.17425 3.02998 3.02169 0.00671386  246.001 244.903 401900 2 0 3
122.2995 26.19925 3.0307 3.02241 0.00671547  246 244.883 401905 2 0 5
#C Sun May 12 06:19:55 2019.  Temperature Setpoint at 245.
#C Sun May 12 06:19:57 2019.  Temperature Setpoint at 245.

#S 527  ascan  th 24.8492 26.0493  40 2
#D Sun May 12 06:21:57 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.008590392 3.000360726 0.006666471356 1.5406 -4.34300276 4.387881906 -35 81.135324 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00859 3.00036 0.00666647
#P0 120.7995 25.44925 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 246K  244.878K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.84925 2.97738 3.03133 -0.0172868  244.984 244.202 402043 2 0 5
24.87925 2.97895 3.02979 -0.0160892  244.987 244.199 402046 2 0 6
24.90925 2.98052 3.02825 -0.0148915  244.988 244.185 402049 2 0 4
24.93925 2.98209 3.0267 -0.0136939  244.986 244.169 402052 2 0 7
24.96925 2.98365 3.02516 -0.0124962  244.986 244.174 402055 2 0 11
24.99925 2.98522 3.02362 -0.0112986  244.988 244.148 402058 2 0 11
25.02925 2.98678 3.02207 -0.0101009  244.988 244.134 402061 2 0 16
25.05925 2.98834 3.02053 -0.00890325  244.986 244.138 402064 2 0 26
25.08925 2.98991 3.01898 -0.00770559  0 244.14 402067 2 0 32
25.11925 2.99147 3.01743 -0.00650792  0 244.116 402070 2 0 64
25.14925 2.99303 3.01589 -0.00531025  0 244.098 402073 2 0 110
25.17925 2.99459 3.01434 -0.00411258  0 244.1 402076 2 0 162
25.20925 2.99615 3.01279 -0.00291491  0 244.097 402079 2 0 223
25.23925 2.99771 3.01124 -0.00171723  0 244.082 402082 2 0 287
25.26925 2.99926 3.00969 -0.00051956  0 244.088 402085 2 0 392
25.29925 3.00082 3.00813 0.000678113  0 244.059 402088 2 0 491
25.32925 3.00238 3.00658 0.00187579  0 244.077 402091 2 0 657
25.35925 3.00393 3.00503 0.00307346  0 244.059 402094 2 0 806
25.38925 3.00548 3.00347 0.00427113  0 244.056 402097 2 0 972
25.41925 3.00704 3.00192 0.0054688  0 244.056 402100 2 0 1035
25.44925 3.00859 3.00036 0.00666647  0 244.04 402103 2 0 999
25.47925 3.01014 2.9988 0.00786414  0 244.051 402106 2 0 1043
25.50925 3.01169 2.99725 0.0090618  0 244.025 402109 2 0 979
25.53925 3.01324 2.99569 0.0102595  0 244.032 402112 2 0 854
25.56925 3.01479 2.99413 0.0114571  0 244.036 402115 2 0 669
25.59925 3.01634 2.99257 0.0126548  0 244.01 402118 2 0 451
25.62925 3.01789 2.99101 0.0138524  0 244.017 402121 2 0 282
25.65925 3.01943 2.98944 0.0150501  0 244.014 402124 2 0 179
25.68925 3.02098 2.98788 0.0162477  0 244.005 402127 2 0 113
25.71925 3.02253 2.98632 0.0174454  0 244.015 402130 2 0 64
25.74925 3.02407 2.98475 0.018643  0 243.999 402133 2 0 32
25.77925 3.02561 2.98319 0.0198406  0 243.987 402136 2 0 35
25.80925 3.02716 2.98162 0.0210383  0 243.999 402139 2 0 19
25.83925 3.0287 2.98006 0.0222359  0 243.996 402142 2 0 21
25.86925 3.03024 2.97849 0.0234335  0 243.99 402145 2 0 16
25.89925 3.03178 2.97692 0.0246311  0 243.986 402148 2 0 7
25.92925 3.03332 2.97535 0.0258287  0 243.979 402151 2 0 5
25.95925 3.03486 2.97378 0.0270263  0 243.981 402154 2 0 10
25.98925 3.03639 2.97221 0.0282239  0 243.977 402157 2 0 4
26.01925 3.03793 2.97064 0.0294215  0 243.976 402160 2 0 6
26.04925 3.03947 2.96907 0.030619  0 243.968 402163 2 0 5

#S 528  a2scan  tth 119.299 122.299  th 24.6973 26.1973  60 2
#D Sun May 12 06:24:09 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.008486916 3.000464497 0.00658662679 1.5406 -4.343271954 4.387613581 -35 81.13532311 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00849 3.00046 0.00658663
#P0 120.7995 25.44725 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  243.968K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.69725 2.98586 2.9779 0.00653708  244.995 243.971 402180 2 0 8
119.3495 24.72225 2.98662 2.97866 0.00653875  244.999 243.958 402185 2 0 4
119.3995 24.74725 2.98738 2.97942 0.00654042  244.994 243.954 402190 2 0 4
119.4495 24.77225 2.98814 2.98018 0.00654209  244.998 243.948 402193 2 0 6
119.4995 24.79725 2.9889 2.98093 0.00654375  244.998 243.951 402198 2 0 18
119.5495 24.82225 2.98967 2.98169 0.00654542  244.998 243.944 402203 2 0 15
119.5995 24.84725 2.99042 2.98245 0.00654708  244.997 243.943 402209 2 0 23
119.6495 24.87225 2.99118 2.98321 0.00654874  0 243.941 402214 2 0 22
119.6995 24.89725 2.99194 2.98396 0.00655041  244.997 243.929 402219 2 0 26
119.7495 24.92225 2.9927 2.98472 0.00655207  245 243.943 402224 2 0 35
119.7995 24.94725 2.99346 2.98548 0.00655372  244.996 243.942 402229 2 0 44
119.8495 24.97225 2.99421 2.98623 0.00655538  245 243.941 402234 2 0 43
119.8995 24.99725 2.99497 2.98698 0.00655704  244.997 243.946 402239 2 0 52
119.9495 25.02225 2.99573 2.98774 0.00655869  0 243.943 402244 2 0 87
119.9995 25.04725 2.99648 2.98849 0.00656034  244.998 243.947 402249 2 0 85
120.0495 25.07225 2.99724 2.98924 0.006562  244.998 243.928 402254 2 0 124
120.0995 25.09725 2.99799 2.99 0.00656365  244.999 243.925 402259 2 0 151
120.1495 25.12225 2.99874 2.99075 0.0065653  244.998 243.941 402265 2 0 188
120.1995 25.14725 2.9995 2.9915 0.00656694  0 243.934 402270 2 0 227
120.2495 25.17225 3.00025 2.99225 0.00656859  245 243.926 402275 2 0 329
120.2995 25.19725 3.001 2.993 0.00657024  244.999 243.93 402280 2 0 386
120.3495 25.22225 3.00175 2.99375 0.00657188  245.001 243.917 402285 2 0 516
120.3995 25.24725 3.0025 2.9945 0.00657353  0 243.923 402290 2 0 663
120.4495 25.27225 3.00325 2.99524 0.00657517  244.999 243.927 402295 2 0 835
120.4995 25.29725 3.004 2.99599 0.00657681  244.998 243.916 402300 2 0 1016
120.5495 25.32225 3.00475 2.99674 0.00657845  244.999 243.929 402305 2 0 1150
120.5995 25.34725 3.0055 2.99748 0.00658009  244.998 243.926 402311 2 0 1215
120.6495 25.37225 3.00625 2.99823 0.00658172  0 243.92 402316 2 0 1274
120.6995 25.39725 3.00699 2.99898 0.00658336  245 243.915 402321 2 0 1205
120.7495 25.42225 3.00774 2.99972 0.00658499  244.998 243.924 402326 2 0 1230
120.7995 25.44725 3.00849 3.00046 0.00658663  244.999 243.93 402331 2 0 1058
120.8495 25.47225 3.00923 3.00121 0.00658826  244.999 243.922 402336 2 0 885
120.8995 25.49725 3.00998 3.00195 0.00658989  244.999 243.917 402341 2 0 844
120.9495 25.52225 3.01072 3.00269 0.00659152  244.998 243.927 402346 2 0 703
120.9995 25.54725 3.01147 3.00343 0.00659315  244.999 243.916 402351 2 0 646
121.0495 25.57225 3.01221 3.00418 0.00659477  0 243.926 402357 2 0 539
121.0995 25.59725 3.01295 3.00492 0.0065964  244.999 243.913 402362 2 0 474
121.1495 25.62225 3.01369 3.00566 0.00659802  245.001 243.924 402367 2 0 427
121.1995 25.64725 3.01443 3.0064 0.00659965  245 243.93 402372 2 0 316
121.2495 25.67225 3.01518 3.00713 0.00660127  0 243.923 402377 2 0 296
121.2995 25.69725 3.01592 3.00787 0.00660289  245 243.925 402382 2 0 236
121.3495 25.72225 3.01666 3.00861 0.00660451  244.998 243.924 402387 2 0 191
121.3995 25.74725 3.01739 3.00935 0.00660613  245 243.911 402392 2 0 127
121.4495 25.77225 3.01813 3.01008 0.00660775  0 243.938 402397 2 0 102
121.4995 25.79725 3.01887 3.01082 0.00660936  245 243.917 402403 2 0 71
121.5495 25.82225 3.01961 3.01156 0.00661098  244.999 243.927 402408 2 0 57
121.5995 25.84725 3.02035 3.01229 0.00661259  244.999 243.914 402413 2 0 40
121.6495 25.87225 3.02108 3.01303 0.0066142  0 243.93 402418 2 0 12
121.6995 25.89725 3.02182 3.01376 0.00661581  245.002 243.914 402423 2 0 29
121.7495 25.92225 3.02255 3.01449 0.00661742  244.998 243.923 402428 2 0 15
121.7995 25.94725 3.02329 3.01522 0.00661903  244.998 243.92 402433 2 0 11
121.8495 25.97225 3.02402 3.01596 0.00662064  0 243.927 402438 2 0 4
121.8995 25.99725 3.02475 3.01669 0.00662224  245 243.915 402444 2 0 10
121.9495 26.02225 3.02549 3.01742 0.00662385  244.998 243.918 402449 2 0 4
121.9995 26.04725 3.02622 3.01815 0.00662545  245 243.911 402454 2 0 5
122.0495 26.07225 3.02695 3.01888 0.00662705  244.998 243.929 402459 2 0 4
122.0995 26.09725 3.02768 3.01961 0.00662865  244.999 243.912 402464 2 0 2
122.1495 26.12225 3.02841 3.02034 0.00663025  245 243.923 402469 2 0 1
122.1995 26.14725 3.02914 3.02106 0.00663185  245 243.924 402474 2 0 1
122.2495 26.17225 3.02987 3.02179 0.00663345  0 243.921 402479 2 0 0
122.2995 26.19725 3.0306 3.02252 0.00663504  245 243.934 402485 2 0 1
#C Sun May 12 06:29:35 2019.  Temperature Setpoint at 244.
#C Sun May 12 06:29:36 2019.  Temperature Setpoint at 244.

#S 529  ascan  th 24.8472 26.0473  40 2
#D Sun May 12 06:31:37 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.008486916 3.000464497 0.00658662679 1.5406 -4.343271954 4.387613581 -35 81.13532311 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00849 3.00046 0.00658663
#P0 120.7995 25.44725 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 245K  243.914K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.84725 2.97728 3.03143 -0.0173667  243.987 243.243 402623 2 0 2
24.87725 2.97885 3.02989 -0.016169  243.985 243.232 402626 2 0 3
24.90725 2.98041 3.02835 -0.0149714  243.985 243.223 402629 2 0 3
24.93725 2.98198 3.02681 -0.0137737  243.988 243.218 402632 2 0 10
24.96725 2.98355 3.02526 -0.0125761  243.987 243.193 402635 2 0 8
24.99725 2.98511 3.02372 -0.0113784  243.989 243.172 402638 2 0 9
25.02725 2.98668 3.02218 -0.0101808  243.989 243.184 402641 2 0 10
25.05725 2.98824 3.02063 -0.0089831  0 243.154 402644 2 0 17
25.08725 2.9898 3.01908 -0.00778543  0 243.157 402647 2 0 26
25.11725 2.99136 3.01754 -0.00658776  0 243.159 402650 2 0 49
25.14725 2.99292 3.01599 -0.00539009  0 243.14 402653 2 0 104
25.17725 2.99448 3.01444 -0.00419242  0 243.144 402656 2 0 177
25.20725 2.99604 3.01289 -0.00299475  0 243.12 402659 2 0 242
25.23725 2.9976 3.01134 -0.00179708  0 243.13 402662 2 0 301
25.26725 2.99916 3.00979 -0.000599405  0 243.109 402665 2 0 388
25.29725 3.00072 3.00824 0.000598268  0 243.102 402668 2 0 523
25.32725 3.00227 3.00668 0.00179594  0 243.09 402671 2 0 608
25.35725 3.00383 3.00513 0.00299361  0 243.098 402674 2 0 811
25.38725 3.00538 3.00358 0.00419129  0 243.088 402677 2 0 894
25.41725 3.00693 3.00202 0.00538896  0 243.069 402680 2 0 1060
25.44725 3.00849 3.00046 0.00658663  0 243.073 402683 2 0 1042
25.47725 3.01004 2.99891 0.00778429  0 243.067 402686 2 0 1031
25.50725 3.01159 2.99735 0.00898196  0 243.063 402689 2 0 1010
25.53725 3.01314 2.99579 0.0101796  0 243.054 402692 2 0 836
25.56725 3.01469 2.99423 0.0113773  0 243.058 402695 2 0 666
25.59725 3.01624 2.99267 0.0125749  0 243.054 402698 2 0 470
25.62725 3.01779 2.99111 0.0137726  0 243.052 402701 2 0 286
25.65725 3.01933 2.98955 0.0149702  0 243.041 402704 2 0 173
25.68725 3.02088 2.98799 0.0161679  0 243.05 402707 2 0 105
25.71725 3.02242 2.98642 0.0173655  0 243.042 402710 2 0 70
25.74725 3.02397 2.98486 0.0185632  0 243.017 402713 2 0 38
25.77725 3.02551 2.98329 0.0197608  0 243.038 402716 2 0 29
25.80725 3.02705 2.98173 0.0209584  0 243.02 402719 2 0 21
25.83725 3.0286 2.98016 0.022156  0 243.035 402722 2 0 23
25.86725 3.03014 2.97859 0.0233537  0 243.037 402725 2 0 9
25.89725 3.03168 2.97702 0.0245513  0 243.017 402728 2 0 15
25.92725 3.03322 2.97545 0.0257489  0 243.003 402731 2 0 7
25.95725 3.03475 2.97388 0.0269465  0 243.006 402734 2 0 4
25.98725 3.03629 2.97231 0.028144  0 243.004 402737 2 0 8
26.01725 3.03783 2.97074 0.0293416  0 243.005 402740 2 0 4
26.04725 3.03936 2.96917 0.0305392  0 242.997 402743 2 0 3

#S 530  a2scan  tth 119.299 122.299  th 24.694 26.194  60 2
#D Sun May 12 06:33:49 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.00831876 3.000633116 0.006456879354 1.5406 -4.343709382 4.387177541 -35 81.1353217 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00832 3.00063 0.00645688
#P0 120.7995 25.444 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  242.997K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.694 2.98569 2.97806 0.00640831  0 243 402760 2 0 7
119.3495 24.719 2.98645 2.97882 0.00640995  243.995 242.989 402765 2 0 7
119.3995 24.744 2.98722 2.97958 0.00641158  243.998 242.987 402770 2 0 6
119.4495 24.769 2.98798 2.98034 0.00641322  243.999 242.987 402775 2 0 6
119.4995 24.794 2.98874 2.9811 0.00641485  0 242.982 402780 2 0 8
119.5495 24.819 2.9895 2.98186 0.00641648  243.997 242.978 402785 2 0 11
119.5995 24.844 2.99026 2.98262 0.00641811  243.999 242.98 402790 2 0 20
119.6495 24.869 2.99102 2.98338 0.00641974  243.997 242.966 402796 2 0 20
119.6995 24.894 2.99178 2.98413 0.00642137  243.998 242.963 402801 2 0 26
119.7495 24.919 2.99253 2.98489 0.006423  243.999 242.988 402804 2 0 31
119.7995 24.944 2.99329 2.98564 0.00642462  0 242.976 402809 2 0 29
119.8495 24.969 2.99405 2.9864 0.00642625  243.998 242.96 402814 2 0 42
119.8995 24.994 2.9948 2.98715 0.00642787  243.999 242.966 402819 2 0 54
119.9495 25.019 2.99556 2.98791 0.00642949  243.998 242.967 402824 2 0 85
119.9995 25.044 2.99631 2.98866 0.00643111  243.999 242.965 402829 2 0 92
120.0495 25.069 2.99707 2.98941 0.00643273  243.997 242.953 402835 2 0 114
120.0995 25.094 2.99782 2.99016 0.00643435  0 242.974 402840 2 0 144
120.1495 25.119 2.99858 2.99092 0.00643597  243.998 242.956 402845 2 0 183
120.1995 25.144 2.99933 2.99167 0.00643759  243.999 242.962 402850 2 0 258
120.2495 25.169 3.00008 2.99242 0.0064392  243.999 242.958 402855 2 0 298
120.2995 25.194 3.00083 2.99317 0.00644081  0 242.942 402860 2 0 397
120.3495 25.219 3.00158 2.99392 0.00644243  243.999 242.959 402865 2 0 520
120.3995 25.244 3.00233 2.99466 0.00644404  243.998 242.953 402871 2 0 687
120.4495 25.269 3.00308 2.99541 0.00644565  244 242.952 402876 2 0 847
120.4995 25.294 3.00383 2.99616 0.00644725  0 242.949 402881 2 0 1017
120.5495 25.319 3.00458 2.99691 0.00644886  243.999 242.957 402886 2 0 1183
120.5995 25.344 3.00533 2.99765 0.00645047  243.998 242.948 402891 2 0 1210
120.6495 25.369 3.00608 2.9984 0.00645207  244 242.959 402896 2 0 1298
120.6995 25.394 3.00683 2.99914 0.00645368  0 242.952 402901 2 0 1250
120.7495 25.419 3.00757 2.99989 0.00645528  244 242.958 402906 2 0 1244
120.7995 25.444 3.00832 3.00063 0.00645688  243.999 242.946 402912 2 0 1117
120.8495 25.469 3.00906 3.00138 0.00645848  244.001 242.937 402917 2 0 893
120.8995 25.494 3.00981 3.00212 0.00646008  243.999 242.959 402922 2 0 803
120.9495 25.519 3.01055 3.00286 0.00646168  244 242.963 402927 2 0 718
120.9995 25.544 3.0113 3.0036 0.00646327  243.999 242.949 402932 2 0 582
121.0495 25.569 3.01204 3.00434 0.00646487  243.999 242.968 402937 2 0 550
121.0995 25.594 3.01278 3.00509 0.00646646  243.997 242.966 402942 2 0 494
121.1495 25.619 3.01352 3.00583 0.00646805  244.002 242.954 402947 2 0 422
121.1995 25.644 3.01427 3.00657 0.00646964  243.998 0 402952 2 0 347
121.2495 25.669 3.01501 3.0073 0.00647123  244 242.946 402957 2 0 288
121.2995 25.694 3.01575 3.00804 0.00647282  243.999 242.956 402963 2 0 225
121.3495 25.719 3.01649 3.00878 0.00647441  243.999 242.95 402968 2 0 161
121.3995 25.744 3.01723 3.00952 0.006476  0 242.962 402973 2 0 139
121.4495 25.769 3.01796 3.01025 0.00647758  244 242.958 402978 2 0 86
121.4995 25.794 3.0187 3.01099 0.00647917  243.999 242.948 402983 2 0 67
121.5495 25.819 3.01944 3.01173 0.00648075  243.999 242.952 402988 2 0 42
121.5995 25.844 3.02018 3.01246 0.00648233  243.999 242.949 402993 2 0 41
121.6495 25.869 3.02091 3.01319 0.00648391  243.999 0 402998 2 0 30
121.6995 25.894 3.02165 3.01393 0.00648549  244 242.951 403004 2 0 24
121.7495 25.919 3.02238 3.01466 0.00648707  243.999 242.953 403009 2 0 15
121.7995 25.944 3.02312 3.01539 0.00648864  244.001 242.963 403014 2 0 8
121.8495 25.969 3.02385 3.01613 0.00649022  243.998 242.956 403019 2 0 6
121.8995 25.994 3.02458 3.01686 0.00649179  243.999 242.959 403024 2 0 6
121.9495 26.019 3.02532 3.01759 0.00649336  244.001 242.949 403029 2 0 2
121.9995 26.044 3.02605 3.01832 0.00649494  244 242.959 403034 2 0 5
122.0495 26.069 3.02678 3.01905 0.00649651  243.998 242.951 403039 2 0 4
122.0995 26.094 3.02751 3.01978 0.00649808  244 242.954 403044 2 0 3
122.1495 26.119 3.02824 3.02051 0.00649964  244 242.95 403050 2 0 3
122.1995 26.144 3.02897 3.02123 0.00650121  243.998 242.943 403055 2 0 4
122.2495 26.169 3.0297 3.02196 0.00650278  244.001 242.955 403060 2 0 5
122.2995 26.194 3.03043 3.02269 0.00650434  0 242.943 403065 2 0 3
#C Sun May 12 06:39:15 2019.  Temperature Setpoint at 243.
#C Sun May 12 06:39:17 2019.  Temperature Setpoint at 243.

#S 531  ascan  th 24.844 26.044  40 2
#D Sun May 12 06:41:17 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.00831876 3.000633116 0.006456879354 1.5406 -4.343709382 4.387177541 -35 81.1353217 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00832 3.00063 0.00645688
#P0 120.7995 25.444 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 243.999K  242.956K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.844 2.97711 3.0316 -0.0174964  0 242.279 403203 2 0 2
24.874 2.97868 3.03006 -0.0162988  242.986 242.257 403206 2 0 4
24.904 2.98024 3.02852 -0.0151011  242.985 242.253 403209 2 0 7
24.934 2.98181 3.02697 -0.0139035  242.986 242.241 403212 2 0 8
24.964 2.98338 3.02543 -0.0127058  242.986 242.232 403215 2 0 9
24.994 2.98494 3.02389 -0.0115082  242.988 242.227 403218 2 0 18
25.024 2.98651 3.02234 -0.0103105  242.989 242.203 403221 2 0 16
25.054 2.98807 3.0208 -0.00911284  242.99 242.199 403224 2 0 29
25.084 2.98963 3.01925 -0.00791518  242.988 242.189 403227 2 0 34
25.114 2.99119 3.0177 -0.00671751  0 242.179 403230 2 0 57
25.144 2.99276 3.01616 -0.00551984  0 242.167 403233 2 0 86
25.174 2.99432 3.01461 -0.00432217  0 242.164 403236 2 0 158
25.204 2.99587 3.01306 -0.0031245  0 242.161 403239 2 0 211
25.234 2.99743 3.01151 -0.00192683  0 242.156 403242 2 0 264
25.264 2.99899 3.00996 -0.000729153  0 242.139 403245 2 0 380
25.294 3.00055 3.00841 0.00046852  0 242.13 403248 2 0 430
25.324 3.0021 3.00685 0.00166619  0 242.133 403251 2 0 620
25.354 3.00366 3.0053 0.00286387  0 242.11 403254 2 0 787
25.384 3.00521 3.00374 0.00406154  0 242.124 403257 2 0 929
25.414 3.00677 3.00219 0.00525921  0 242.101 403260 2 0 1092
25.444 3.00832 3.00063 0.00645688  0 242.106 403263 2 0 1039
