#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.767341332 3.767341332 13.11033219 90 90 90 1.667803566 1.667803566 0.4792544701 90 90 90 3 3 0 4 0 0 120.335 25.1675 -7.32275 70.86125 0 0 109.84225 24.92125 -7.59325 20.735 0 0 1.5406 1.5406
#G3 1.633455573 0.2729017824 0.05668742311 -0.2775305199 1.644386529 0.006668203257 -0.1907050974 -0.0555544193 0.4758433757
#G4 0.6066964325 1.904885443 -0.3174442436 1.5406 4.914004252 -7.063162084 -35 -96.57131476 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.606696 1.90489 -0.317444
#P0 48.308 16.51775 -6.46675 70.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.93K  294.043K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
16.21775 0.616623 1.90175 -0.313271  289.953 289.954 5115 1 0 120
16.23775 0.615962 1.90196 -0.31355  289.954 294.043 5117 1 0 123
16.25775 0.615301 1.90217 -0.313828  289.955 294.043 5119 1 0 166
16.27775 0.614639 1.90238 -0.314106  289.956 294.043 5121 1 0 181
16.29775 0.613978 1.90259 -0.314385  289.957 294.043 5122 1 0 175
16.31775 0.613316 1.9028 -0.314663  289.957 294.043 5124 1 0 268
16.33775 0.612655 1.90301 -0.314941  289.957 294.043 5126 1 0 234
16.35775 0.611993 1.90322 -0.31522  289.958 294.043 5128 1 0 261
16.37775 0.611331 1.90343 -0.315498  289.958 294.043 5130 1 0 289
16.39775 0.610669 1.90364 -0.315776  289.958 294.043 5132 1 0 302
16.41775 0.610007 1.90385 -0.316054  289.957 294.043 5134 1 0 346
16.43775 0.609345 1.90406 -0.316332  289.958 294.043 5136 1 0 427
16.45775 0.608683 1.90426 -0.31661  289.958 294.043 5138 1 0 447
16.47775 0.608021 1.90447 -0.316888  289.958 294.043 5140 1 0 433
16.49775 0.607359 1.90468 -0.317166  289.958 294.043 5142 1 0 459
16.51775 0.606696 1.90489 -0.317444  289.958 294.043 5144 1 0 483
16.53775 0.606034 1.90509 -0.317722  289.958 294.043 5145 1 0 467
16.55775 0.605372 1.9053 -0.318  289.959 294.043 5147 1 0 461
16.57775 0.604709 1.90551 -0.318278  289.959 294.043 5149 1 0 490
16.59775 0.604046 1.90571 -0.318556  289.958 294.043 5151 1 0 448
16.61775 0.603384 1.90592 -0.318833  289.96 294.043 5153 1 0 372
16.63775 0.602721 1.90612 -0.319111  289.96 294.043 5155 1 0 390
16.65775 0.602058 1.90633 -0.319389  289.96 294.043 5157 1 0 330
16.67775 0.601395 1.90654 -0.319666  289.96 294.043 5159 1 0 274
16.69775 0.600732 1.90674 -0.319944  289.961 294.043 5161 1 0 265
16.71775 0.600069 1.90695 -0.320221  289.962 294.043 5163 1 0 269
16.73775 0.599406 1.90715 -0.320499  289.962 294.043 5165 1 0 219
16.75775 0.598743 1.90735 -0.320776  289.962 294.043 5167 1 0 206
16.77775 0.59808 1.90756 -0.321054  289.963 294.043 5168 1 0 182
16.79775 0.597416 1.90776 -0.321331  289.962 294.043 5170 1 0 140
16.81775 0.596753 1.90797 -0.321609  289.963 294.043 5172 1 0 105

#S 5  ascan  tth 37.6338 38.2338  30 1
#D Mon Dec 11 14:03:00 2017
#T 1  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.767341332 3.767341332 13.11033219 90 90 90 1.667803566 1.667803566 0.4792544701 90 90 90 3 3 0 4 0 0 120.335 25.1675 -7.32275 70.86125 0 0 109.84225 24.92125 -7.59325 20.735 0 0 1.5406 1.5406
#G3 1.633455573 0.2729017824 0.05668742311 -0.2775305199 1.644386529 0.006668203257 -0.1907050974 -0.0555544193 0.4758433757
#G4 0.3431581719 1.549581822 -0.3084874843 1.5406 4.912340944 -7.000730778 -35 -96.30865601 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.343158 1.54958 -0.308487
#P0 37.93375 16.5365 -6.46675 70.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.963K  294.043K 
#N 10
#L 2Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
#C Mon Dec 11 14:03:05 2017.  Scan aborted after 0 points.

#S 6  ascan  tth 47.976 48.576  30 1
#D Mon Dec 11 14:04:17 2017
#T 1  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.767341332 3.767341332 13.11033219 90 90 90 1.667803566 1.667803566 0.4792544701 90 90 90 3 3 0 4 0 0 120.335 25.1675 -7.32275 70.86125 0 0 109.84225 24.92125 -7.59325 20.735 0 0 1.5406 1.5406
#G3 1.633455573 0.2729017824 0.05668742311 -0.2775305199 1.644386529 0.006668203257 -0.1907050974 -0.0555544193 0.4758433757
#G4 0.605168381 1.904058511 -0.3177290766 1.5406 4.912340944 -7.063424618 -35 -96.56973837 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.605168 1.90406 -0.317729
#P0 48.276 16.5365 -6.46675 70.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.963K  294.043K 
#N 10
#L 2Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
47.976 0.596692 1.89446 -0.317941  289.985 294.043 5335 1 0 567
47.996 0.597256 1.8951 -0.317928  289.985 294.043 5337 1 0 638
48.016 0.59782 1.89574 -0.317914  289.985 294.043 5339 1 0 751
48.036 0.598383 1.89638 -0.317901  289.985 294.043 5341 1 0 889
48.056 0.598948 1.89703 -0.317887  289.986 294.043 5343 1 0 965
48.076 0.599512 1.89767 -0.317874  289.986 294.043 5345 1 0 1056
48.096 0.600077 1.89831 -0.31786  289.987 294.043 5347 1 0 1205
48.116 0.600642 1.89895 -0.317846  289.988 294.043 5349 1 0 1253
48.136 0.601207 1.89959 -0.317832  289.988 294.043 5351 1 0 1220
48.156 0.601772 1.90023 -0.317817  289.988 294.043 5353 1 0 1245
48.176 0.602337 1.90086 -0.317803  289.988 294.043 5354 1 0 1187
48.196 0.602903 1.9015 -0.317788  289.988 294.043 5356 1 0 1110
48.216 0.603469 1.90214 -0.317774  289.988 294.043 5358 1 0 1023
48.236 0.604035 1.90278 -0.317759  289.989 294.043 5360 1 0 933
48.256 0.604602 1.90342 -0.317744  289.99 294.043 5362 1 0 780
48.276 0.605168 1.90406 -0.317729  289.991 294.043 5364 1 0 668
48.296 0.605735 1.9047 -0.317714  289.991 294.043 5366 1 0 516
